given,inferred,confidence
['ops'],['black'],0.9746835443037974
['bieber'],['justin'],0.9367088607594937
['wars'],['star'],0.8396946564885496
['justin'],['bieber'],0.8222222222222222
['moments'],['funny'],0.6542056074766356
['star'],['wars'],0.6010928961748634
['funny'],['moments'],0.5426356589147288
['del'],['los'],0.5409836065573771
['remix'],['feat'],0.5378787878787878
['na'],['da'],0.5174825174825175
['real'],['life'],0.4824120603015075
['da'],['na'],0.4539877300613497
['los'],['del'],0.4285714285714286
['school'],['back'],0.36746987951807225
['black'],['ops'],0.3581395348837209
['don'],['love'],0.33163265306122447
['christmas'],['day'],0.3277310924369748
['music'],['love'],0.3148936170212766
['song'],['love'],0.30303030303030304
['back'],['life'],0.29857819905213273
['back'],['school'],0.2890995260663507
['music'],['feat'],0.2851063829787234
['life'],['real'],0.28486646884273
['life'],['day'],0.2670623145400593
['feat'],['love'],0.2580645161290322
['feat'],['remix'],0.2544802867383512
['time'],['life'],0.2528301886792453
['day'],['life'],0.24930747922437674
['feat'],['music'],0.24014336917562723
['time'],['day'],0.23773584905660378
['life'],['love'],0.21958456973293766
['day'],['christmas'],0.21606648199445985
['challenge'],['life'],0.21543408360128619
['game'],['challenge'],0.2089041095890411
['live'],['love'],0.2
['life'],['challenge'],0.19881305637982197
['life'],['time'],0.19881305637982197
['love'],['music'],0.1978609625668449
['love'],['life'],0.1978609625668449
['challenge'],['game'],0.19614147909967844
['love'],['feat'],0.1925133689839572
['love'],['song'],0.18716577540106955
['life'],['back'],0.18694362017804153
['day'],['time'],0.1745152354570637
['love'],['don'],0.17379679144385027
['day'],['love'],0.16897506925207756
['love'],['day'],0.16310160427807485
['love'],['live'],0.16042780748663102
